Source:,/home/anton/Documents/kicad/IQ_Modulator/vhf_uhf_IQ_Modulator_V2.sch,,Digi-Key Part nr,,,,
Date:,Wed 06 Jun 2018 13:08:13 SAST,,,,,,
Tool:,Eeschema 4.0.7+dfsg1-1ubuntu2,,,,,,
Generator:,/usr/lib/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,71,,,,,,
Ref,Qnty,Value,,Cmp name,Footprint,Description,Vendor
"C4, ",1,3.3pF,478-3846-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C6, C11, C7, C12, ",4,2200pF,709-1306-1-ND ,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C8, C5, C23, C25, C28, ",5,10uF 16V,478-11412-1-ND ,CP_Small,Capacitors_SMD:C_0805_HandSoldering,Polarised capacitor,
"C9, C14, ",2,1nF,399-16591-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C10, ",1,4.7uF 16V,478-8125-1-ND,CP_Small,Capacitors_SMD:C_0805_HandSoldering,Polarised capacitor,
"C15, C20, C17, C3, C2, C13, C1, ",7,1uF 16V,478-8122-1-ND ,CP,Capacitors_Tantalum_SMD:CP_Tantalum_Case-R_EIA-2012-12_Reflow,Polarised capacitor,
"C18, ",1,27pF,478-3844-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C19, C26, ",2,220pF,720-1347-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C21, C16, ",2,100pF,478-10459-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C22, C29, C30, C31, ",4,33pF,478-10472-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C24, ",1,15pF,478-10462-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"C27, ",1,100nF,587-1134-1-ND,C_Small,Capacitors_SMD:C_0805_HandSoldering,Unpolarized capacitor,
"J1, ",1,CONN_01X03,,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,
"J2, ",1,TEST_1P,,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,point,
"J3, ",1,Audio-Jack-3,,Audio-Jack-3,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,3-pin audio jack receptable (stereo/TRS connector),
"J4, ",1,CONN_01X04,,Conn_01x04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,"Generic connector, single row, 01x04",
"J5, ",1,SMA Edge FM,931-1175-ND ,Conn_Coaxial,Connectors_Molex:Molex_SMA_Jack_Edge_Mount,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",
"L3, ",1,22nH,490-5652-1-ND ,L,Capacitors_SMD:C_0805_HandSoldering,Inductor,
"L4, L2, ",2,33nH,490-5655-1-ND,L,Inductors_SMD:L_0805_HandSoldering,Inductor,
"L5, L1, ",2,33nH,490-5655-1-ND,L,Capacitors_SMD:C_0805_HandSoldering,Inductor,
"L6, L9, ",2,56nH,490-5660-1-ND,L,Inductors_SMD:L_0805_HandSoldering,Inductor,
"L7, L8, ",2,110nH,490-5665-1-ND ,L,Inductors_SMD:L_0805_HandSoldering,Inductor,
"Q2, Q3, Q1, ",3,BC817-40,BC817-40LT3GOSCT-ND ,BC817-40,TO_SOT_Packages_SMD:SOT-23,,
"R1, R13, ",2,10k,311-10KARCT-ND ,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R2, R5, R3, R6, ",4,1K,311-1.0KARCT-ND ,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R4, ",1,1k8,RHM1.8KKCT-ND,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R7, R8, R14, ",3,6k8,RMCF0805JT6K80CT-ND ,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R10, ",1,2k2,RHM2.2KKCT-ND ,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R11, ",0,OC,,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R12, R9, ",2,0,541-0.0ACT-ND ,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"R15, R16, ",2,6k5,RMCF0805JT6K80CT-ND ,R,Resistors_SMD:R_0805_HandSoldering,Resistor,
"RV2, RV1, ",2,4k7,311-4.7KARCT-ND ,POT,Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical,Potentiometer,
"U1, ",1,TRF3701,296-17198-ND ,TRF3701,Housings_VQFN:VQFN-16_3x3mm,,
"U2, ",1,MMZ09332BT1,MMZ09332BT1DKR-ND,MMZ09332BT1,QFN-12-1EP_3x3mm:QFN-12-1EP_3x3mm_P0.5mm_EP1.65x1.65mm,,
"U3, ",1,Si570,336-3900-ND ,Si570,Oscillators:Oscillator_SMD_SI570_SI571_HandSoldering,,
"U4, ",1,Orange Pi zero,PPTC202LFBN-RC,orange_pi_zero 2sip40 Pin  2.54,orangepi-zero:orangepi-zero,,
"U5, ",1,MCP3421A0T-E/CH,MCP3421A0T-E/CHCT-ND,MCP3421A0T-E/CH-RESCUE-vhf_uhf_IQ_Modulator,TO_SOT_Packages_SMD:SOT-23-6_Handsoldering,,
,1,Orange Pi zero,S7046-ND ,orange_pi_zero 1sip13 Pin  2.54,,,
